Item,GSTIN_Supplier,GSTIN_Recipient,Place_of_Dispatch_PIN_Code,Place_of_Delivery_PIN_Code,Invoice_or_Challan_Number,Date,Value_of_Goods,HSN_Code,Reason_for_Transport,Transporter_Doc_No,Vehicle_Number,Estimated_Delivery_Time,Distance
R1,ABC123XYZ456,PQR789LMN012,560001,560011,INV-2023001,2023-05-15,500,12,Material,TRANS-001,KA-01-1234,3,120
R2,DEF456UVW789,LMN012XYZ345,560001,560021,INV-2023002,2023-06-20,700,34,Material,TRANS-002,KA-02-5678,6,180
P1,GHI789OPQ123,UVW234XYZ567,560021,560031,INV-2023003,2023-07-10,900,56,Inventory,TRANS-003,KA-03-9012,4,150
R3,JKL012RST345,OPQ456XYZ678,561031,560011,INV-2023004,2023-08-05,600,78,Material,TRANS-004,KA-04-3456,7,200
P2,MNO234XYZ567,RST567UVW890,560011,560051,INV-2023005,2023-09-15,800,89,Inventory,TRANS-005,KA-05-7890,5,160
R4,ABC123XYZ456,PQR789LMN012,560002,560021,INV-2023006,2023-10-01,550,14,Material,TRANS-006,KA-06-2345,4,130
P3,DEF456UVW789,LMN012XYZ345,560011,560031,INV-2023007,2023-11-15,720,37,Inventory,TRANS-007,KA-07-6789,8,190
R5,GHI789OPQ123,UVW234XYZ567,561022,560021,INV-2023008,2023-12-10,950,58,Material,TRANS-008,KA-08-0123,5,140
P4,JKL012RST345,OPQ456XYZ678,562032,560051,INV-2023009,2024-01-05,630,80,Inventory,TRANS-009,KA-09-4567,9,210

